n_cargos,static_v3_cost_mean,static_v3_cost_min,static_v3_cost_max,static_v3_time_ms_median,static_v3_time_ms_min,static_v3_time_ms_max,static_v3_rounds,dynamic_v2_cost_mean,dynamic_v2_cost_min,dynamic_v2_cost_max,dynamic_v2_time_ms_median,dynamic_v2_time_ms_min,dynamic_v2_time_ms_max,dynamic_v2_rounds
77,12941.419798735458,12437.432359580209,13235.963993789033,6.676850010990165,6.082100007915869,7.292599999345839,16,11686.302400900482,11621.763666870247,11915.651486651834,47.04210000636522,45.2023999823723,53.07739999261685,16
78,13100.992388719831,12438.269652074374,13956.990854593605,6.89910001528915,6.420099991373718,11.482100002467632,16,11716.432432523457,11538.888012794545,11967.29000409398,48.55665001377929,46.252000000094995,50.25269999168813,16
79,13267.74161683461,12505.75825488492,13844.734505368342,7.410000005620532,6.619899999350309,9.036500006914139,16,11643.403450096816,11564.052271967941,11877.51796492047,51.569400005973876,50.26200000429526,73.57999999658205,16
80,13368.047055011377,12664.512786762847,13784.85483095872,7.291849993634969,6.840399990323931,9.051699977135286,16,12271.447266842613,12215.071745871363,12337.939105243991,53.10065000958275,51.347400003578514,54.47259999345988,16
81,13459.841913133438,12923.822761116782,14002.712324087719,7.222250002087094,6.773300003260374,8.189299987861887,17,12585.84473766564,12490.435230762952,12654.906361743622,52.527899999404326,49.85159999341704,57.95629997737706,17
82,13509.991776700886,12794.613432466582,14192.404488867269,7.186149989138357,6.4178000029642135,8.579199988162145,17,12514.005619121845,12374.197086388282,12758.814723105737,52.51299998781178,51.341300015337765,54.77180000161752,17
83,13509.37286578473,12805.298933611872,13848.077646911002,7.419750007102266,6.874499988043681,7.732800004305318,17,12699.927553568185,12581.445598037028,12837.127676003343,53.489399986574426,51.84319999534637,56.42939999233931,17
84,13858.68592876606,13354.04058878405,14201.981958003124,7.634299996425398,7.276699994690716,9.762699977727607,17,13013.34942298873,12917.42449055829,13234.867916856894,54.4083499989938,52.27530002593994,55.74239999987185,17
85,13826.93949471962,13526.319511855267,14119.711017046946,7.5853000016650185,6.968800007598475,10.363999987021089,17,13083.589439262309,12939.369731541108,13272.631052988869,56.25865000183694,55.16940000234172,57.21850000554696,17
86,14052.862150170147,13442.975107428574,14786.848614846867,7.693749983445741,7.142300019040704,9.04960001935251,18,13242.301628649302,13076.371048863837,13357.353361206679,56.274900009157136,55.276500002946705,60.75220002094284,18
87,14247.851628838658,13626.58597521053,14503.34951899632,7.6542000024346635,7.460399996489286,9.290899994084612,18,13218.174416089407,13138.788100149513,13327.52077490045,57.2468499885872,56.36789998970926,60.15040000784211,18
88,14606.4915113705,14112.435703341485,14978.582643530415,7.768349998514168,7.421199989039451,8.617900020908564,18,13826.52816894545,13533.275109578899,14028.924329823229,61.26435000624042,59.17480000061914,67.39380001090467,18
89,14618.033099420503,13787.630461485953,15262.362463224423,7.960200004163198,7.448599993949756,9.736799984239042,18,13582.409844277947,13445.273621457203,13962.852514063401,62.746699986746535,60.50010002218187,71.40600000275299,18
90,14453.338843391817,14043.08512586061,14887.803465270332,8.575800005928613,7.346700003836304,9.898899996187538,18,13629.2282082741,13522.769372478593,13798.257874124869,63.91795001400169,61.54830000014044,66.21389999054372,18
91,14420.987356121941,14010.402220279015,14787.905095502992,8.053049998125061,7.338900002650917,10.020599991548806,19,13434.869895404341,13309.330487327194,13552.062434361622,61.67275000188965,60.421900008805096,64.4981000223197,19
92,14850.055932215779,14298.345771812383,15638.88087257203,8.11995001276955,7.532400020863861,9.03490002383478,19,13533.264873207743,13465.66102204617,13591.191553030974,60.56019999959972,58.989500015741214,63.83080000523478,19
93,14930.809824760734,14099.815180479933,15838.801043718246,7.8900499938754365,7.322799996472895,8.721799997147173,19,13198.794123687112,12967.40118119893,13299.539470644302,61.1823499930324,60.06239997805096,62.361399992369115,19
